시설명,온탕온도,열탕온도,냉탕온도,건식온도,습식온도,시설태그,수질/청결메모,가격,특이사항,후기키워드
프라임노다지사우나,,,,,,dry-sauna,,,,"괜찮,좋아"
프리마스파,41,,13,,,"cold-bath,dry-sauna,hot-bath,outdoor-air,outdoor-bath,parking,seshin,warm-bath,wet-sauna","노천탕을 좋아하는지라 노천탕이 있는 사우나가 늘어났으면 하는 바램입니다. 그리고 내기욕, 외기욕 공간이 잘 마련되어있는 곳이면 더욱 좋을 것 같습니다. 탕의 수질과 사우나 온도도  | 전체적으로 습도관리가 잘 되어서 약간 ""춥다""라는 느낌이 들 정도로 뽀송한 이유는 제가 06:40AM에 갔기 때문일 수도 있고 | 사람이 없어서 정말 쾌적쾌적한 ""대중탕의 프리미엄 버젼""을 경험했습니다.","6만원 / 11만원 / 28,000원","나중에 톡방에서 무료이용권 만들어서 나눠드려야겟어요 ㅋㅋ프리마사우나는 가끔 몇십장씩 이용권 받거든요 | 남자: 24시간 | 여자: 06시부터 오픈, 24시까지 | 새벽 사우나는 정말 좋더라구요 ... 강남 진짜 가는거 싫어하는데 진짜 자주 갈 수 밖에 없어서 .... 종종 아침에 이용할 것 같습니다.","가성비,괜찮,별로,좋아,좋았,최고,추천"
하이렉스파,,,,,,"bulgama,outdoor-bath",프리마 여탕은 작고 깔끔합니다,,,"좋아,좋았,추천"
해운대온천,,,,,,"cold-bath,dry-sauna,outdoor-air,warm-bath,wet-sauna","넓고 깔끔한곳 좋아하시면 해운대온천센터 | 2. 더럽다 수준의 관리 | 이 두개가 가장 컸는데, 금일 근처에서 일정이 있어 들렸고 곧 폐업이라 관리가 더 악화되었을까봐 걱정 했는데, 오히려 아주 깨끗하다는 아니지만 더럽다는 아닌 정도의 관리 상태와 낮",,"이 두개가 가장 컸는데, 금일 근처에서 일정이 있어 들렸고 곧 폐업이라 관리가 더 악화되었을까봐 걱정 했는데, 오히려 아주 깨끗하다는 아니지만 더럽다는 아닌 정도의 관리 상태와 낮","아쉬,좋아,좋았,추천"
허심청,39,44,,,,"bulgama,cold-bath,dry-sauna,hot-bath,outdoor-air,outdoor-bath,pool,store,warm-bath",센텀스파랜드 쪽이 더 쾌적하고 물도 좋았던… 개인적 의견입니다. ㅎㅎ | 2) 사우나-냉탕-휴게공간의 사이클을 쾌적하게 즐길 수 있는 곳이 많아지면 좋겠습니다! | 여기 다녀왔는데 오래된 목욕탕인데 관리가 참 잘된 곳이라 좋더라구요,"1.2만원 / 8만원 / 33,000원 / 11,200원",투숙객은 응당 무료여야하는것을….! ㅠ,"가성비,괜찮,대박,별로,완벽,좋아,좋았,최고,추천"
홍삼스파,,,,,,charcoal,,,"+) 홍삼스파는 네이버로 예약하고가면 싸요 | 홍삼은 24시간, 가야랜드는 6시넘으면 못들어가십니다. 9to6 직장인이시라면 홍삼스파밖에 선택지가 없습니다 | 건너편에 해물칼국수 기가막힌집이 있었는데 폐업해서… 근처 통일동산쪽에 최고야짬뽕 맛있습니다","아쉬,좋아,최고"
황금스파,,,,,,seshin,오 여기 가봤는데 깔끔하고 좋아요 근데 영업시간티 좀 짧았던걸로 기억해요 남자분이시면 남탕에 세신 있습니다 세신사분도 잘 밀어주셨어요 친절하시고,,"내감 이벤트 때는 쇼핑몰 지인 통해 들었는데 수영복 입고 진행했었고, 프리오픈부터는 남녀 분리해서 다 벗고 진행했습니다.","괜찮,좋아,추천"
황금온천,40,,,,,"cold-bath,outdoor-bath,warm-bath","오후 방문했으나 근처 동네 어르신꽤나 많았음. 역시 온천물이라 도심에서 이렇게 미끌한 물은 처음. 유황냄새도 나고 온탕 40.2도로 적절, 온천 바가지탕 있고, 히노끼탕있었으나 3",,,
휘경인삼사우나,,,,,,store,휘경인삼사우나 다녀왔습니다 큰 사우나 한쪽 고장나서 작은 사우나 하나만 가동되고 있네요 사람은 엄청 많은데 사우나가 너무 작아서 옆의 사람이랑 거의 붙어서 사우나 해야해서 너무 불 | 진짜 위생..청결이 기본이라 생각하는데 말처럼 쉽지가 않네요 그런의미에서 쉐레이 기대되요......,,,"실망,좋아,추천"
힐링엔사우나,,,,,,outdoor-bath,,,,좋아
